subject,dfe_qualification_number,dfe_subject_number,dfe_subject_name,prior_attainment_band,probability_u,probability_e,probability_d,probability_c,probability_b,probability_a,probability_a_star
history,111,14010,History,4 to < 5,2.7906976744186046E-2,0.1277076411960133,0.34152823920265779,0.35388704318936876,0.13461794019933554,1.3820598006644518E-2,5.3156146179401996E-4
history,111,14010,History,5 to < 6,6.6981275688841532E-3,3.9047039123154208E-2,0.18815649261683665,0.40219211447708936,0.30179631602983709,5.8456386055716243E-2,3.6535241284822652E-3
history,111,14010,History,6 to < 7,1.6896173016811692E-3,9.2928951592464309E-3,6.3022725352707615E-2,0.25099265016473771,0.45264847512038525,0.20072653543972291,2.1627101461518965E-2
history,111,14010,History,7 to < 8,1.1041589988958411E-3,6.1342166605324495E-4,9.4466936572199737E-3,9.2013249907986747E-2,0.38019874861980124,0.41172862225493806,0.1048951048951049
history,111,14010,History,8 to < 9,,,1.1719894520949312E-3,1.6993847055376501E-2,0.1421037210665104,0.48930559624963377,0.35042484617638442
history,111,14010,History,>=9,,,,0.125,,0.375,0.5
music,111,17010,Music,2 to < 3,,0.25,0.5,,0.25,,
music,111,17010,Music,3 to < 4,0.16666666666666666,0.18333333333333332,0.31666666666666665,0.23333333333333334,0.1,,
music,111,17010,Music,4 to < 5,5.6338028169014086E-2,0.19014084507042253,0.33333333333333331,0.26056338028169013,0.14319248826291081,1.4084507042253521E-2,2.3474178403755869E-3
music,111,17010,Music,5 to < 6,1.3574660633484163E-2,9.6153846153846159E-2,0.22850678733031674,0.35407239819004527,0.24547511312217193,5.5429864253393663E-2,6.7873303167420816E-3
music,111,17010,Music,6 to < 7,2.8490028490028491E-3,3.1339031339031341E-2,0.14150047483380818,0.30484330484330485,0.35707502374169042,0.14529914529914531,1.7094017094017096E-2
music,111,17010,Music,7 to < 8,,7.2289156626506026E-3,6.0240963855421686E-2,0.18795180722891566,0.36265060240963853,0.30240963855421688,7.9518072289156624E-2
music,111,17010,Music,8 to < 9,,,1.5945330296127564E-2,6.3781321184510256E-2,0.2072892938496583,0.43963553530751709,0.27334851936218679
music,111,17010,Music,>=9,,,,,,,1
art,111,13510,Art & Design,1 to < 2,0.5,,0.25,,0.25,,
art,111,13510,Art & Design,2 to < 3,8.8235294117647065E-2,0.17647058823529413,0.20588235294117646,0.44117647058823528,5.8823529411764705E-2,,2.9411764705882353E-2
art,111,13510,Art & Design,3 to < 4,4.065040650406504E-2,0.11653116531165311,0.28997289972899731,0.34688346883468835,0.16260162601626016,2.7100271002710029E-2,1.6260162601626018E-2
art,111,13510,Art & Design,4 to < 5,1.2808783165599268E-2,5.4894784995425432E-2,0.18938700823421775,0.37785910338517842,0.26989935956084171,7.0448307410795968E-2,2.4702653247941447E-2
art,111,13510,Art & Design,5 to < 6,3.5486160397444995E-3,2.3420865862313699E-2,0.1022001419446416,0.29311568488289569,0.39247693399574168,0.11284599006387509,7.23917672107878E-2
art,111,13510,Art & Design,6 to < 7,,8.1008100810081012E-3,3.2403240324032405E-2,0.1476147614761476,0.35103510351035105,0.279027902790279,0.18181818181818182
art,111,13510,Art & Design,7 to < 8,,1.7152658662092624E-3,6.8610634648370496E-3,6.86106346483705E-2,0.28473413379073759,0.28130360205831906,0.35677530017152659
art,111,13510,Art & Design,8 to < 9,,,,1.5706806282722512E-2,0.13089005235602094,0.26701570680628273,0.58638743455497377
